room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_POOL,yearHosting,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_REFRIGERATOR,SYSTEM_EV_CHARGER,SYSTEM_BREAKFAST,SYSTEM_BATHTUB,SYSTEM_SMOKING_ALLOWED,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_CALENDAR,SYSTEM_SAUNA,SYSTEM_MAPS_RESORT,SYSTEM_FIREPIT,SYSTEM_TOYS,SYSTEM_PIANO
688275793706514315,https://www.airbnb.com.vn/rooms/688275793706514315,"4,9",Thành phố Hạ Long,21,20.958513151728248,107.05127108842134,REGULAR,,"Nhà tạo mẫu phòng riêng, phòng sạch sẽ và giá rẻ, ngẫu nhiên",private_room,30,False,,/ đêm,342.353,₫342.353,2,True,True,,,True,True,,,,False,True,,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
623424256387180031,https://www.airbnb.com.vn/rooms/623424256387180031,"4,9",Trân Châu,19,20.769485473632812,107.02233123779297,REGULAR,,Cat ba park homestay - single room 1,private_room,20,False,,/ đêm,342.353,₫342.353,2,True,True,True,True,,,,,,False,,,,,True,False,,,,,,,True,,,True,,,,,,,,,,,,,,,,
26895495,https://www.airbnb.com.vn/rooms/26895495,"4,95",Thành phố Hạ Long,24,20.94134,107.10973,REGULAR,,Sống cùng gia đình bản xứ Hạ Long Lily - Phòng 203,hotel_room,101,False,,/ đêm,749.420,₫749.420,3,True,True,,True,,True,,True,,False,True,,,,,False,,,,True,,,,,,True,,,,,,,,,,,,,,,,
876716094244247723,https://www.airbnb.com.vn/rooms/876716094244247723,,Cát Hải,6,20.72803,107.04313,REGULAR,,Seoul Hotel And Apartment - Deluxe Room 101,private_room,,False,,/ đêm,,,4,True,True,True,True,True,True,,,,False,,,,,True,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
683030627488369789,https://www.airbnb.com.vn/rooms/683030627488369789,"4,9",Trân Châu,30,20.80547,107.03889,REGULAR,,Ngôi Nhà Xưa - Phòng Riêng,entire_home,20,False,,/ đêm,1.132,₫1.132.198,2,True,,,True,True,,,,,False,,True,True,,,False,,,,,,,True,,,,,,True,,,,,True,,,,,,,,
629976410973765296,https://www.airbnb.com.vn/rooms/629976410973765296,"5,0",Lê Chân,16,20.8479,106.672272,REGULAR,,"Our Home 1 - Nhà 4 tầng nguyên căn, 4 phòng ngủ",entire_home,4,False,,/ đêm,,,8,True,True,True,,True,True,,True,True,False,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
39788070,https://www.airbnb.com.vn/rooms/39788070,,Hải phong ,16,20.72158,107.05212,REGULAR,,KHÁCH SẠN TRUNG TÂM CATBA 6,private_room,,False,,/ đêm,,,2,,True,,True,,True,True,,,False,True,,,True,,False,,,,,,,,,,,,,,True,,,,,,,,,,,,
865776290749510875,https://www.airbnb.com.vn/rooms/865776290749510875,,tt. Cát Hải,30,20.75718,107.08652,REGULAR,,#1 Lan Ha Bay 4.5 Star Cruise-Cat Ba Island,private_room,,False,,/ đêm,,,4,,True,True,,,True,,,,False,True,True,,,,,,,,,,,True,True,,,True,,,,,,,,,,,True,,,,
36085163,https://www.airbnb.com.vn/rooms/36085163,"5,0",Thành phố Hạ Long,30,20.95814,107.00668,REGULAR,,Kây.5Br với/Nhà bếp/Vị trí tuyệt vời/Hồ bơi vàPhòng tập thể dục chung,entire_home,28,False,,/ đêm,,,16,True,True,True,True,True,True,,,,False,,,,,,False,,,,True,,,,True,,,,,,,,,,,,,,,,,,
46252438,https://www.airbnb.com.vn/rooms/46252438,,Thành phố Hạ Long,15,20.95616,107.00428,REGULAR,,SỐNG CÙNG GIA ĐÌNH BẢN xứ CN - Blue studio,entire_home,,False,,/ đêm,838.765,₫838.765,3,True,True,,True,,True,,,,False,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
