room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_TV,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_CALENDAR,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_FIREPLACE,SYSTEM_BEACH,SYSTEM_TOYS,SYSTEM_FIREPIT
37411218,https://www.airbnb.com.vn/rooms/37411218,,Cái Răng,27,10.01065,105.79363,REGULAR,,Nhà nghỉ Thỏ - Khám phá Đồng bằng sông Cửu Long,hotel_room,,False,,/ đêm,268.177,₫268.177,2.0,True,True,,True,,,True,True,False,False,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
45951717,https://www.airbnb.com.vn/rooms/45951717,,Cái Răng,11,10.01544,105.78698,REGULAR,,204-09Homestay-BigC Cần Thơ,private_room,,False,,/ đêm,365.177,₫365.177,2.0,True,True,,True,True,True,True,,False,False,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
43343811,https://www.airbnb.com.vn/rooms/43343811,,Phong Điền,30,9.997421264648438,105.71239471435547,REGULAR,,Sống cùng gia đình bản xứ bên bờ sông tuyệt vời với trải nghiệm độc đáo,private_room,,False,,/ đêm,664.804,₫664.804,2.0,,True,,,True,,True,,False,False,True,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,
25356579,https://www.airbnb.com.vn/rooms/25356579,,Ninh Kiều,14,10.04527,105.77829,REGULAR,,103-08 Sống cùng gia đình bản xứ,private_room,2,False,,/ đêm,410.824,₫410.824,2.0,True,True,,True,,True,True,,False,False,,True,,,,,,,True,,,False,True,5,True,,,,,,,,,,,,,
27030332,https://www.airbnb.com.vn/rooms/27030332,,Cai Lậy,30,10.31895,106.0389,REGULAR,,Gia đình Mekong Nam Giang có chỗ nghỉ phục vụ bữa sáng,private_room,2,False,,/ đêm,346.494,₫346.494,16.0,True,True,,True,True,True,True,,False,False,,,,,,,True,,,,,False,False,5,,,False,,,,,,,,,,,
39827013,https://www.airbnb.com.vn/rooms/39827013,,Nhơn Nghĩa,30,9.96782,105.69801,REGULAR,,Mekong Daniel Resort (Bungalow5),entire_home,,False,,/ đêm,669.159,₫669.159,2.0,True,True,True,True,True,,,,False,False,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
725717267582723349,https://www.airbnb.com.vn/rooms/725717267582723349,,Bình Thủy,5,10.06401,105.73811,REGULAR,,Phòng đôi VIP Deluxe - Mekong Siltecolodge,private_room,2,False,,/ đêm,1.882,₫1.882.942,2.0,,True,,True,,,True,,False,False,,,,,,,,,,,,False,False,5,,,False,,,,,,,,,,,
40811248,https://www.airbnb.com.vn/rooms/40811248,"3,67",Bình Thủy,30,10.04953,105.75127,REGULAR,,"NẮNG XANH 1*** Không gian xanh, Cây cối, Thiên nhiên **",private_room,3,False,,/ đêm,302.412,₫302.412,2.0,True,True,,True,True,True,,,False,False,True,,,,,,,,,,,False,True,3,True,,,,,,,True,,,,,,
603984129541261898,https://www.airbnb.com.vn/rooms/603984129541261898,,Thành phố Vĩnh Long,18,10.23292,105.9743,REGULAR,,Ngôi nhà tuyệt vời Vinh Long 1,entire_home,,False,,/ đêm,2.355,₫2.355.407,8.0,True,True,,,,True,True,True,False,False,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
45951810,https://www.airbnb.com.vn/rooms/45951810,,Phú Thứ,12,10.01648,105.78492,REGULAR,,102-09 Homestay- Big C Cần Thơ,private_room,,False,,/ đêm,308.118,₫308.118,2.0,True,True,,True,True,True,True,,False,False,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
41707192,https://www.airbnb.com.vn/rooms/41707192,,Ninh Kiều,20,10.03663,105.78478,REGULAR,,"7916 Sống cùng gia đình bản xứ - 2 phòng ngủ, trung tâm thành phố",entire_home,,False,,/ đêm,,,5.0,True,True,,,,,True,,False,False,,True,,,,True,,,,,True,,,,,,,,,True,,,,True,,,,
29468149,https://www.airbnb.com.vn/rooms/29468149,,Ninh Kiều,9,10.04625,105.77845,REGULAR,,203-08 Homestay,private_room,,False,,/ đêm,410.824,₫410.824,2.0,True,True,,,,True,True,,False,False,,True,,,,True,,,True,,,,,,,,,,True,,,,,,,,,
813648229033894977,https://www.airbnb.com.vn/rooms/813648229033894977,,Thành phố Vĩnh Long,7,10.27087461968381,105.98293818533419,REGULAR,,"Homestay của Ba Lbegin, chào mừng bạn.",private_room,,False,,/ đêm,593.412,₫593.412,,,True,True,,,,,True,False,False,,,,,,,,,,,,False,False,,True,,,,,,,,,,,,,
37437121,https://www.airbnb.com.vn/rooms/37437121,"4,42",Ninh Kiều,30,10.0303,105.78683,REGULAR,,HOA SEN TINH KHIẾT,hotel_room,19,False,,/ đêm,617.500,₫617.500,2.0,,True,,,,,True,,False,False,,True,,,,True,,,,,,,,,,True,,,,True,,,,,,,,
43343512,https://www.airbnb.com.vn/rooms/43343512,,Phong Điền,23,9.997203826904297,105.71237182617188,REGULAR,,Homestay 1 phòng ngủ yên bình gần sông,private_room,,False,,/ đêm,664.804,₫664.804,2.0,,True,,True,True,,,,False,False,True,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,
