room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_VIEW_CITY,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_FIREPLACE,SYSTEM_LUGGAGE_DROP,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_POOL,SYSTEM_SMOKING_ALLOWED,SYSTEM_PIANO,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_CRIB,SYSTEM_HIGH_CHAIR,SYSTEM_BREAKFAST,SYSTEM_VIEW_MOUNTAIN,SYSTEM_CALENDAR,SYSTEM_BATHTUB
791493165885230507,https://www.airbnb.com.vn/rooms/791493165885230507,,Tây Hồ,13,21.07974,105.81953,REGULAR,,Ban công Sunside Studio ấm cúng,private_room,,,,,False,,/ đêm,416.301,₫416.301,2.0,,True,True,True,,,,,False,False,True,,True,True,,,,True,True,,,,,,,,,,,,,,,,,
888143552690559219,https://www.airbnb.com.vn/rooms/888143552690559219,,Tây Hồ,5,21.07809,105.81581,REGULAR,,Spacious studio in Tay Ho,entire_home,,,,,False,,/ đêm,376.588,₫376.588,2.0,,True,True,,True,True,,,False,False,,,,True,,,,,,,,,,,,,,,,,,,,,,
780888412764806940,https://www.airbnb.com.vn/rooms/780888412764806940,"4,19",Hoàn Kiếm,7,21.0315055,105.855027,REGULAR,,"Trung tâm Cozyhome Khu phố cổ, Nhà thờ",private_room,21,,,,False,,/ đêm,286.424,₫286.424,2.0,,True,True,True,True,True,True,,,,True,,True,,,,,True,,,True,,,,,,,,,,,,,,,
555656581000472665,https://www.airbnb.com.vn/rooms/555656581000472665,"4,39",Ba Đình,10,21.04676,105.84136,REGULAR,,Căn hộ ban công phong cách Hồ Trúc Bạch 1 phút,entire_home,33,,,,False,,/ đêm,460.937,₫460.937,2.0,,True,True,True,,True,True,,False,False,,,,True,True,,,,True,,,,,,,,,,,,,,,,,
21642515,https://www.airbnb.com.vn/rooms/21642515,,Định Công,6,20.97813,105.83642,REGULAR,,"Phòng riêng hiện đại mới xây, ban công view đẹp",private_room,,,,,False,,/ đêm,267.606,₫267.606,1.0,,True,True,,True,True,,True,False,,True,,,,True,,,,,,,,,,,,,,,,,,,,,
597842582217773112,https://www.airbnb.com.vn/rooms/597842582217773112,"4,5",Hoàn Kiếm,19,21.02983,105.84528,REGULAR,,Moonni Homestay - Không gian sống tối thiểu @ Hoàn Kiếm,private_room,22,False,True,1,False,,/ đêm,359.311,₫359.311,2.0,True,True,True,,,True,,,False,False,True,,True,,,,,,True,,,,True,,,,,,,,,,,,,
15573550,https://www.airbnb.com.vn/rooms/15573550,"4,41",Đống Đa,16,21.01247,105.84014,REGULAR,,Studio tuyê ̣ t vơ ̀ i và lành mạnh,private_room,102,,,,False,,/ đêm,267.614,₫267.614,2.0,,True,True,True,,,,,False,False,True,,,True,,,,True,,,,,True,,,,,True,,,,,,,,
34427814,https://www.airbnb.com.vn/rooms/34427814,"4,75",Hoàn Kiếm,16,21.02121,105.84921,REGULAR,,Dreamcatcher Villa *** TV Netflix * *** ban công lớn *,private_room,24,,,,False,,/ đêm,443.918,₫443.918,2.0,,True,True,True,True,True,,,False,False,True,,,True,,True,,,,,,,,,,,,,,,,,,,,
886886464210152534,https://www.airbnb.com.vn/rooms/886886464210152534,,Cầu Giấy,13,21.020888201634158,105.79356014728546,REGULAR,,Căn hộ tiện nghi 259 Yên Hoà CG,private_room,,False,True,,False,,/ đêm,375.447,₫375.447,1.0,True,True,True,,True,True,,,False,False,,,,True,,,,,True,,,,,,,,,,,,,,,,,
36889249,https://www.airbnb.com.vn/rooms/36889249,"4,78",Thanh Xuân Nam,14,20.98529,105.79718,REGULAR,,CẢI TẠO MỚI - Phòng yên tĩnh gần Đại học Hà Nội,private_room,9,False,True,4,False,,/ đêm,271.565,₫271.565,1.0,True,True,True,True,True,True,,,False,False,True,,,,,,,,True,,,,,,,,,,,,,,,,,
