room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_POOL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,SYSTEM_EV_CHARGER,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,rating,reviewCount,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_PETS,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_BEACH,SYSTEM_FIREPLACE,SYSTEM_JACUZZI,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_CALENDAR,SYSTEM_MAPS_RESORT,SYSTEM_MICROWAVE,SYSTEM_MAPS_BAR,SYSTEM_PIANO,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_BOAT_SAIL,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_GYM
749607620856927799,https://www.airbnb.com.vn/rooms/749607620856927799,Thị xã Bến Cát,8,11.113866769613201,106.61816205829382,REGULAR,,Nhà phố an ninh khép kín đầy đủ tiện ích,entire_home,False,,/ đêm,684.706,₫684.706,1.0,,,,,True,,,,,False,,,,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,
749611983322434024,https://www.airbnb.com.vn/rooms/749611983322434024,Thị xã Bến Cát,8,11.11368,106.6369,REGULAR,,Khu an ninh bảo vệ 24/24,entire_home,False,,/ đêm,399.412,₫399.412,1.0,,,,,True,,,,,False,,,,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,
41860974,https://www.airbnb.com.vn/rooms/41860974,Tân An Hội,13,10.99214,106.49098,REGULAR,,Nhà nghỉ nông trại Cửa hàng Cửa hàng Củ Chi,private_room,False,,/ đêm,890.118,₫890.118,2.0,,True,True,True,,,,,,False,False,True,,,,,,True,,,,True,False,,True,,,,True,,,,True,,,,,,,,,,,,
11563120,https://www.airbnb.com.vn/rooms/11563120,Thành phố Thủ Dầu Một,7,10.95421,106.66477,REGULAR,,STUDIO GIÁ TRỊ TỐT NHẤT + NHÓM (TỐI ĐA 2),entire_home,False,,/ đêm,669.159,₫669.159,2.0,,True,True,,True,True,,True,,False,,,,,,"4,93",14,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
762602711313137207,https://www.airbnb.com.vn/rooms/762602711313137207,thành phố Biên Hòa,20,10.9592,106.81737,REGULAR,,Win Phát Motel - 302,private_room,False,,/ đêm,342.353,₫342.353,2.0,True,True,True,True,,True,True,,,False,,,,True,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
701923365792365481,https://www.airbnb.com.vn/rooms/701923365792365481,Dĩ An,12,10.9161895,106.7668597,REGULAR,,Căn hộ cao cấp đáng yêu 2,entire_home,False,,/ đêm,892.500,₫892.500,2.0,True,True,True,True,True,True,True,,,False,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
49184499,https://www.airbnb.com.vn/rooms/49184499,Quận 9,17,10.88935,106.83533,REGULAR,,"Căn hộ 2 phòng ngủ Vinhomes Grandpark Riverview, xe đạp miễn phí",entire_home,False,,/ đêm,,,5.0,,True,True,,True,True,True,,,False,,,,,,,,,True,,,,,,,,,,True,True,,,True,,,,,,,,,,,,
822984825739223392,https://www.airbnb.com.vn/rooms/822984825739223392,Quận 4,7,11.43351,106.64854,REGULAR,,Căn hộ vị trí trung tâm Quận 4.,entire_home,False,,/ đêm,,,5.0,,True,True,True,True,True,True,True,True,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
631776141295167581,https://www.airbnb.com.vn/rooms/631776141295167581,thành phố Biên Hòa,20,10.951503,106.82869,REGULAR,,Căn hộ cao cấp có sân vườn tại Biên Hòa,entire_home,False,,/ đêm,1.716,₫1.716.001,4.0,,True,True,,True,True,True,True,,False,,,,True,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
871577045649914061,https://www.airbnb.com.vn/rooms/871577045649914061,Thủ Đức,5,10.88839,106.834704,REGULAR,,Căn hộ 1pn+ cao cấp,entire_home,False,,/ đêm,,,4.0,,True,True,True,True,True,True,,,False,,,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
