room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,price,price_full,SYSTEM_PETS,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,yearHosting,SYSTEM_DRYER,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_TOYS,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_LUGGAGE_DROP,SYSTEM_MAPS_RESORT,SYSTEM_EV_CHARGER,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_GYM,SYSTEM_MICROWAVE
34375773,https://www.airbnb.com.vn/rooms/34375773,,Thành phố Hạ Long,10,20.97851,107.00979,REGULAR,,cho thue nha 118-162 ql279 gieng day,entire_home,,False,,/ đêm,4.0,,,True,True,,,True,True,False,,True,,,267.656,₫267.656,True,,,,,False,,,,True,,,,,,,,,,,,,,,,,,,
25016215,https://www.airbnb.com.vn/rooms/25016215,,tt. Cát Bà,4,20.72612,107.05336,REGULAR,,Nhà khách Bảo Long 8,private_room,,False,,/ đêm,4.0,,,,True,,,,True,False,,,True,,,,,,,,,False,,,,,,,,True,True,,,,,True,,,,,,,,,
44669610,https://www.airbnb.com.vn/rooms/44669610,"1,67",Hải An,20,20.84269,106.70822,REGULAR,,"phòng đẹp , giá gia đình , con chủ nhà đẹp trai ,",entire_home,3,False,,/ đêm,12.0,,,True,True,,,,True,False,,True,True,,285.294,₫285.294,True,,,,,False,,,,,,,,,,,,,True,,,,,,,,,,
697312470883170951,https://www.airbnb.com.vn/rooms/697312470883170951,,Haiphong,30,20.8449115,106.6880841,REGULAR,,Chào mừng những ngôi nhà hạnh phúc,private_room,,False,,/ đêm,4.0,,True,True,True,True,True,,True,False,,,,,409.107,₫409.107,,,,,,False,,,,,True,,True,,,,,,,,,,,,,,,,
41160547,https://www.airbnb.com.vn/rooms/41160547,,Hồng Bàng,11,20.874159,106.649551,REGULAR,,Phòng 202 - Vân Anh,private_room,,False,,/ đêm,2.0,,,,True,,,,True,False,,True,True,,268.177,₫268.177,True,,False,True,True,False,,,,,,,,True,,,,,,True,,,,,,,,,
38782507,https://www.airbnb.com.vn/rooms/38782507,,Cat Ba Town,15,20.72511,107.04971,REGULAR,,"chúng tôi có quán rượu, nhà hàng",private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,True,,True,,345.600,₫345.600,True,,,,,False,,,,,,,,True,,,,,True,,,,,,,,,,
797376296742733393,https://www.airbnb.com.vn/rooms/797376296742733393,,Kiến An,7,20.8210366,106.6360269,REGULAR,,Viên Hương Hotel,private_room,,False,,/ đêm,16.0,,,,True,True,True,,True,,,True,True,,411.093,₫411.093,True,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,
704197221565050207,https://www.airbnb.com.vn/rooms/704197221565050207,"4,72",Thành phố Hạ Long,20,20.95837,107.05218,REGULAR,,"Phòng ở trung tâm Hạ Long, phòng rẻ, sạch sẽ, ngẫu nhiên",private_room,18,False,,/ đêm,2.0,,,True,True,,,,True,False,,,True,,342.353,₫342.353,True,,,,,False,,,,,,,,True,,,,,,,,,,,,,,,
42111598,https://www.airbnb.com.vn/rooms/42111598,,Thành phố Đà Lạt,12,20.74662,106.6665,REGULAR,,Lengkeng - Giường trong nhà trọ tập thể lấp lánh dành cho bạn bè,private_room,,False,,/ đêm,8.0,,,,True,,True,,,False,,,,,285.294,₫285.294,,,,,,False,,,,,,,,True,,,,True,,,,,,,,,,,
31095325,https://www.airbnb.com.vn/rooms/31095325,,Cát Hải,7,20.72673,107.05208,REGULAR,,phòng đôi,private_room,2,False,,/ đêm,4.0,,,,True,,True,,,,True,,True,,267.035,₫267.035,,,False,True,,,,,4,,,False,,True,,,,True,,,,,,,,,,,
